Italian word,English translation
cercarla,to look for / to try
comprata,to buy
mm,Marina Militare
foglio,sheet of paper / piece of paper / sheets
calmata,to calm / calm down / to relieve / lessen / ease
votare,(to) devote / (to) to give one’s vote / (to) pass
vinci,A small town in Tuscany; Leonardo da Vinci was born nearby
amelia,male given name (f.)
siti,situated / located / lying / A site / a website / a web site
don',Mr. / Don (apocopated)
sedersi,be seated / sits / sit
note,bill / list / note
arresti,arrest / stop / standstill
maiali,pig
succedono,to happen / to succeed
tentando,to tempt / to lure / to attract / to entice / to try / to attempt
diagnosi,diagnosis
sospettati,suspected / suspicious / suspect / questionable / suspect
chiedete,to ask / to request
nazioni,nation
sappiate,to know
sydney,Sydney
rimuovere,eliminating
rimettere,to put again / put back / replace / to remit / forgive / pardon
diamoci,we give
correndo,to hurry / rush / to run / to run [a race or a risk]
titoli,male given name / the Epistle to Titus / Titus [biblical character]
parecchie,several
fornito,stocked
quadri,square / A description or outline or sketch / A painting or picture
codici,code / codex
muoverci,to move
satana,An evil or wicked person / Satan
cercata,to look for / to try
esagerando,to exaggerate / to go too far / to overdo it / to go overboard
nessun',apocopic form of nessuna / apocopic form of nessuna
ucciderci,to kill
astronave,spacecraft / spaceship / starship
abituata,to accustom (f.)
conoscerlo,to know [a person or place] / experience / to recognise
vie,ways
tacere,silence / to be silent / to keep quiet
mediche,medical / doctor / physician
verdetto,verdict
saggezza,wisdom
approvazione,approval
ritratto,portrait / picture / depiction
controlliamo,to audit / to check / verify / inspect / examine / to control / dominate
romeo,pilgrim travelling to Rome
guerre,wars
nuvole,cloud
fuochi,fire / focus / hearth
uccidono,to kill
riporta,to carry / to bring again / bring back / take back / carry back
unite,to join / to unite / to put together
web,web
tosta,badass / hard / tough / hard-boiled / swift / rapid / hurried
candele,to blanch / whiten / to candy
scaricare,throws
bistecca,steak
fissa,obsession
orari,hourly / per hour / time / time / hours
necessaria,indispensable / inevitable / necessary
diventera,to become / go / to grow
recuperato,to make up [time / disadvantage]
buchi,hole / small opening / gap / aperture / hovel
dedicato,To dedicate
stranieri,foreign / alien / foreigner / alien / stranger / outlander
scaduto,to become due [of a payment / etc.] / to decline / go down
leale,honest / loyal / faithful
registrare,to adjust / set / to check in / to record / tape / video
disperata,desperate / reckless / forlorn
letti,read / bed (p.p. of leggere)
telefonica,telephone / phone
riscontro,check / comparison / confirmation
stiate,to stay / to be
nausea,nausea
cristallo,crystal / pane
chiari,to clarify or explain
applauso,applause
curiosa,A busybody or nosy parker
cicatrice,scar
eterna,eternal / The Everlasting
riferimento,reference / mention
infermeria,infirmary / sick bay
riconoscimento,acknowledgement / avowal / award / recognition / identification
bastano,to be enough
molo,jetty / pier / mole / quay / dock
erede,heir / inheritor
apro,I open
legami,alloy / association / society / league
divenne,becoming / to become
invitare,to induce / asked / to ask
farmaco,medicine / medication / drug
ritengo,to hold back / hold down / hold / stop / retain
meccanico,mechanical / mechanic / mechanic's
cominciando,to begin / to start / to commence
protagonista,protagonist
letale,lethal / deadly
circondato,to lavish / to surround / encircle / enclose
permetta,to allow / to let / to permit / to authorize / to entitle
importi,amount / sum
animo,inclination / mind / opinion
pesanti,heavy / oppressive / depressing
arrogante,arrogant
impazzendo,To go mad
impulso,impulse / drive / urge / boost / impulse / pulse / also archaic for momentum
alleati,to ally / to unite
ottimi,very good / very fine / excellent / perfect / splendid / optimum
scomparsi,to pass away / die / to disappear / vanish
unirsi,united / teams / join
maggiori,bigger / greater / biggest / greatest / greater than
oscurita,darkness / gloominess / obscurity
fili,blade / cable / wire / flex / grain
costante,constant / persistent / continuous / steady / steadfast
tristi,sad (pl.)
assegni,allowance / cheque / check / draft
ascoltarmi,to listen
perderai,to lose
lena,breath / force / energy / vigour
alcolici,alcoholic / alcohol / An alcoholic drink
sapranno,know / (they) will hear / (they) will know
compiere,carried / perform / performs
intervenire,to intervene / say / speak / to operate
commenti,comment / commentary
sensori,A sensor
pareti,estimate / judgment / opinion / view / comment / to look / seem / appear
sconfitto,defeated / beaten / overthrown
scienze,learning / knowledge / science
sceso,descended (p.p. of scendere)
salvarla,to save / guard / safeguard / protect / defend
dissero,they said (p.r.)
volevate,you (pl.) wanted
seguirmi,to follow or pursue
andavamo,we were going
fermiamo,to close / to stop
dividere,to divide / to share
svenuto,fainted / passed out
ego,ego
madonna,Honorific title used to address women / Madonna / Our Lady
andarvene,to go
curriculum,curriculum
rendono,To be profitable / To give back / to return / To make
budget,A budget
priorita,priority / triage
sindacato,syndicated / syndicate / trust / cartel / pool
vide,saw (p.r.)
dimissioni,discharge / resignation
spedizione,consignment / forwarding / dispatch / shipment / expedition
rispondete,[~ a] to correspond to / [~ di] to be responsible for
multa,fine
rischiato,To risk
probabilita,probability / likelihood / chance
solitudine,solitude / loneliness / solitariness / seclusion
mento,chin / mentum
istruzione,education / schooling / instruction / teaching
paolo,male given name / equivalent to Paul / Paul [biblical character]
sofia,female given name / cognate to Sophia / Sofia
avvelenato,rabid / enraged / raging / resentful
gentilmente,kindly / delicately / politely
successivo,following / next / subsequent / successive / consecutive
permetterò,to allow / to let / to permit / to authorize / to entitle
andrete,go / let / gone
improbabile,improbable / unlikely
professione,trade / profession / occupation
commedia,play / comedy / frolic
cava,quarry / mine
pregato,to pray / to beg / to pray to something
scacchi,chess
compiuto,finished / completed or accomplished
calzini,sock
costato,chest / ribs
reagito,To react
scordatelo,to put out of tune / to forget
assicurato,insured / policy holder
detenuti,prisoner
ossessionato,to bother / trouble / to obsess
mamme,mom [US] / mommy [US] / mum [UK] / mummy [UK] / mother
valido,valid / effective / good / substantial / sound / strong
ignorare,not to know / to ignore / to be unaware of
business,business
somiglia,to resemble / look like
salite,to go up / come up / to ride / mount
tremendo,terrible / awful / dreadful
ari,To possess sexually / To plough / plow
f,See under F
quantita,quantity
condurre,to conduct or lead something
presentarvi,to introduce / to present
accettarlo,to accept / to admit
sconosciuta,unknown / unfamiliar / unidentified / unexplored / obscure
campionato,championship
prepari,to coach / train / groom / to prepare / make ready / get ready / arrange
siedi,bottom / butt / seat / buttocks / bum / to sit down / take a seat
esperienze,experience
mostrano,to pretend / to show
volontario,volunteer / volunteer's
innanzitutto,first of all
professoressa,teacher / professor / teachers
impegnati,to begin / start / engage / to bind / tie / to pawn
raccontami,to tell / to narrate / to recount / to relate
cambierà,to change / to exchange
ginnastica,gymnastics
spaventare,to frighten / scare / spook
sognare,to dream
yoga,yoga
pipì,pee / wee
guidando,to drive / to guide / lead / escort / to manage / run
pisciare,to urinate / to piss
particolari,particular / private / personal / homosexual
verificare,to verify / test / check / examine / inspect / survey
ulteriori,further
colonna,column / pillar / tailback
principali,main / principal / major / flagship / boss
terrò,to have / to hold / keep / to take
conforto,comfort / consolation / solace / support
preferite,favorite / you prefer / do you prefer
vicepresidente,vice chairman / vice president / vice-president
emozionante,emotional / exciting / moving
caporale,bossy person / corporal / lance corporal
nell,in the
distrettuale,district
mangiate,to eat
bollente,boiling / hot
michele,Michael
sgualdrina,trollop
eliminato,to eliminate
supervisore,superintendent / controller / supervisors
fui,I was (passato remoto)
vergogno,to embarrass / to shame
amichevole,good-natured / good-tempered / privately negotiated
avvisato,alerted / informed
lati,side
cereali,cereal
assistito,assisted / client / patient
comportarti,to involve / to imply / to entail
restituire,to relinquish / to restore / bring back to
delicato,delicate / frail / gentle / mild
fisso,fixed / regular / stable / steady / fixedly / intently
espresso,express / espresso / express letter
uniche,only person / only one / only thing
missili,missile / missile
elemento,element
gennaio,January
capaci,head
razzista,racist / racist
riuscissi,to be able to / to manage to / to be / to prove / to find
affamato,hungry / starving
cambiera,to change / to exchange
rispondimi,[~ a] to correspond to / [~ di] to be responsible for
emozione,thrill / excitement / emotion
infinito,boundless / unlimited / unbounded / immeasurable / endless / countless
sprecato,to squander / to waste
conoscervi,to know [a person or place] / experience / to recognise
procede,to proceed / prosecute / to behave / act / to go on / carry on / continue
famosi,famous / well-known / renowned / infamous / notorious
dimenticati,forgetful / oblivious or unmindful
cd,CD
crescita,growth
radar,radar
curva,bend / curve / trajectory
trovarsi,got / lies / met
aggiustare,to alter [clothes / etc.] / to correct / to repair / mend
nebbia,fog / mist
maschile,masculine / male / men's / boys' / virile / manly
sconto,(I) rebate / (I) deduct / (I) discount
metropolitana,metro. / subways / underground
portale,A portal / A portal / a portal site / front door / home page
proverò,to try on / to rehearse / to feel / experience
rimandare,to make somebody repeat an examination / to have to repeat an examination
etichetta,etiquette / formality / label / tag
qualcun',apocopic form of qualcuna
preziosa,precious / valuable / costly / invaluable / jewel / valuable
indicano,to indicate / to point out / point to / to recommend / advice / need
entusiasmo,enthusiasm / excitement
dicesse,said (subj.)
classica,classic cycle race / classic / short form of musica classica
progettato,to plan / design / to plan / make plans for
miracoli,marvel / wonder / miracle
occasioni,bargain / special offer / circumstance / occasion
contano,to count on someone / to count / to matter / to count
probabilità,probability / likelihood / chance
comportando,to involve / to imply / to entail
comuni,common / ordinary / commune
incontriamo,to play / fight
salti,drop / fall / change / jump / leap / rise / drop / gap
regione,regions / land / country
tolga,to take off / to take out
appropriato,appropriate / suitable
iniezione,injection
sconosciuti,unknown / unfamiliar / unidentified / unexplored / obscure
grano,bead [of the rosary] / grain [of cereal / or small piece of something]
ridi,you laugh
richiamato,to attract / draw / call / to berate / to call again / call back / recall
ritorni,comeback / return / change [money received after payment]
riviste,magazines / reviewed (f. pl.)
turni,duty / guard / shift / turn
deposizione,deposition
galassia,galaxy / Milky Way
economico,financial / inexpensive / cheap
deb,deb / debutante
assicurarsi,reflexive form of assicurare / to insure oneself
avvicinare,to approach / come up / accost / have to do with
borse,bursa / bag / handbag / purse / briefcase / market / exchange
ubriachi,blotto / drunk / blotto
archivio,archive / library / filing cabinet
scolastico,scholastic / school / scholastic / educational / education / scholastic
intesi,intended / meant / understood
xena,xenon (f.)
soffrendo,to suffer / to be in pain / to stand / to bear / to put up with / to allow
bagnato,wetted/wet / dampened / moistened
frequentare,frequent / go / enrolls
bianche,white (f. pl.)
cercarti,to look for / to try
monete,coin / currency
overdose,overdose
guardavo,I was looking
sequenza,row / sequence
colonia,cologne / eau de Cologne / colony / holding
sedici,sixteen
esplosivo,explosive / explosive
alleanza,alliance / covenant
fenomeno,phenomenon
colto,picked / cultured (p.p. of cogliere)
pop,pop
ruba,to steal
ava,female ancestor
fetta,slice
obbligo,condition / obligation / duty
cuoco,cook / chef
mondi,worlds
testo,baking tray / text / textbook
incolpare,charge / blames
panni,cloth / clothes / laundry / washing
ehilà,Hey there!
gabinetto,cabinet
cresciuti,To grow / increase or expand / To grow something / to cultivate
rubati,to steal
carine,dear (m. pl.)
incontrarti,to play / fight
moriranno,to die
provero,to try on / to rehearse / to feel / experience
ingannato,to betray / to cheat / swindle / to deceive / take in / mislead
trucchi,effect / makeup / trick
hawaii,Hawaii
eccitato,excited / aroused / thrilled / excited / nervous / high-strung / wrought-up
perdonatemi,to forgive / pardon / to forgive / pardon / excuse
circuito,circuit / track
sappiano,they know (subj.)
pianoforte,piano / pianoforte
orbita,orbit / eye socket / orbit
smette,to stop or cease
pubblicato,to publish
spirituale,spiritual
sol,apocopic form of sole / G [musical note and key]
preavviso,notice
sbattere,to fuck / to beat / to bonk
pescare,fishing / to dive for / to fish
adolescenti,adolescent / adolescent / teenager
formula,formula
guadagna,to rise / to earn / make / to gain / get / win / reach
delicata,delicate / frail / gentle / mild
costruzione,building / construction
riuscirò,to be able to / to manage to / to be / to prove / to find
guerrieri,warlike / warrior
casco,bunch / crash helmet / hair dryer
edifici,building / organisation
pirata,pirated / ripped / pirate / filibuster / buccaneer / corsair
scudo,scudo / escudo / shield
usati,USA
ordino,to arrange / to ordain / to order
lottato,to fight / to struggle
pianeti,plain
tata,big sister / governess
biscotto,cookie / biscuit / cookies
scarica,discharge / flood / hail / shot
combattendo,to fight / to battle / to shrive / to fight / to combat
costruita,to build / construct / to plan / frame
poca,little
riva,bank / shore
prato,lawn / grass / meadow
assalto,assault / raid / bout / hold up
nudi,naked / nude / bare / nude
salvarmi,to save / guard / safeguard / protect / defend
finiscila,to finish / to end / to finish
butto,to shape / to turn / to beat in
guardiano,keeper / caretaker / ward / watchman / surveyor / shepherd / herdsman / herd
australia,Australia
private,to deprive / take / rob
stellare,astronomical / star-shaped / radial / stellar
tesi,thesis / (you) stretch / (I) stretched
orrore,disgust / loathing / horror
scattare,To be released; to spring back or click open or shut
urlo,howl / scream / wail
stranamente,strangely / oddly / queerly
bowling,bowling
vulnerabile,vulnerable
muovendo,to move
conoscenze,acquaintance / consciousness / knowledge / cognition
addormentata,sleeping / sleepy / stupid / dopey
incapace,incapable / unfit / incompetent / inadequate / incompetent / bungler
cecchino,sniper
messicano,Mexican / beef olive
affidabile,reliable / trustworthy / dependable
ottiene,to obtain / to reach / achieve / gain
chiedergli,to ask / to request
scarico,dead / out of power / I unload
vuote,empty (m.)
tolgo,to take off / to take out
negare,to deny / to negate
barone,baron / top brass
occorre,must / to need / to be necessary / to take
seguita,popular / successful / followers / supporters / following / audience
mercoledi,Wednesday
pallone,ball / soccer / soccer ball
ricercato,refined / affected / studied / sought-after / wanted man
reggiseno,bra
perdite,leak / leakage / loss / waste / deprivation
hobby,hobby / hobbies / pastime
calcoli,cast / literal loan translation / calque / mold
capiamo,to understand
accompagni,to accompany / add / match / to go with / come with / accompany / escort
ranch,A ranch / notably livestock breeding farm
preoccupazioni,preoccupation / worry / cares / concern
prenderne,to take
jazz,jazz
dischi,disc / disc / disk
asso,ace
omaggio,free / freebie / homage / tribute
piacesse,pleased to meet you / delight / favour / kindness
lotteria,lottery / sweepstake
bottone,bud / button
favoloso,fabulous / wonderful
accendi,to light / ignite / kindle / to turn on [a device]
sottile,thin / fine / slim
partecipato,to attend / to be present / to take part in / to participate in / to share
disturbare,bothering / puts / put
ingannare,to betray / to cheat / swindle / to deceive / take in / mislead
moderna,modern
liscia,simple / neat / straight / smooth / sleek / polished
puliti,broke / clean / neat / tidy / clean place
oscura,dark / gloomy / sombre / humble
considera,to consider / to examine / to weight / to contemplate
starei,I would be
resterà,to remain / to stay
dramma,drachma / drachm / dram / drachm / drama
serratura,lock
dannati,to damn
attentato,assassination attempt / attack
raggiungo,to attain / gain / achieve / to reach / arrive at / get to / touch
zampe,a animal's leg / a paw
latino,Latin / Latin / Latin
incasinato,confused / disordered / muddled
hockey,hockey
candela,candle
concentrato,concentrated / absorbed / attentive / concentrated / condensed
umanita,humanity / mankind
bancone,counter
ospedali,hospital
infinite,boundless / unlimited / unbounded / immeasurable / endless / countless
pro,good / benefit / advantage / pro [a professional]
verbale,verbal / spoken / minutes / record
innocenza,innocence
inferiore,inferior / a cut below / inferior
pensai,to think
rilascio,issue / release
quaggiù,down here / in the South / in this world or life
catene,bond / fetter; subordination / repression / chain / tether
dovuti,had to
marta,female given name of biblical origin / Martha [biblical character]
scomparse,disappearance / vanishing / death / decease / demise / extinction
serpenti,snake
cieli,heaven / sky
ritirata,lavatory / retreat / withdrawal
prudente,prudent / careful / cautious
analizzare,To analyse / to analyze / to test / to examine / To backtrack
supplico,to implore / beseech
sordo,deaf / dull / muffled
girano,to be on the go / ramble / roam / wander / go around
scende,to descend / get off
destinazione,assignment / posting / destination
comoda,comfortable / convenient / handy / loose (f.)
rotte,broken / route (f.)
alte,tall (f. pl.)
rivelare,to detect / to reveal / disclose / let out / make known / tell
paparino,daddy
risata,laugh
curato,cured / edited / tended / kept
postale,postal / post [attribute] / mail / post office / mail train
poterla,to be able / can
prostitute,prostitute / hoe / hooker
maniaco,crazy / mad / maniac / maniacal / A maniac
iris,iris
dammela,give it to me (f.)
gestisce,To gesticulate / To manage / run or administer
venduta,corrupt
soffitto,ceiling / (I) provide [something] with a ceiling
statale,state / government / trunk / civil servant
rituale,customary / usual / habitual / ritual / ritual
colpisci,to affect / to hit / strike
senato,senate
brividi,shiver / shudder
dritti,crafty / sly / plain / knit / obverse [side of a coin / medal or badge]
permettero,to allow / to let / to permit / to authorize / to entitle
banana,banana
fermarli,to close / to stop
venditore,seller / vendor / monger / purveyor
valere,to be worth
trasportare,to drive / carry / to move / transfer / to transport / carry / convey / take
esatta,exact / right
mattinata,matinée / morning
cittadina,burgess / citizen / subject / small town
riscatto,ransom / redemption
capiscono,to understand
esaminato,to examine / to examine / test / check / control
aiuterai,to help / assist
comandi,command / charge / leadership / headquarters / control / drive
sapevate,you (pl.) knew
soffiata,tip-off
penseranno,to think
ferire,wound / (to) hurt / injure
starebbe,would be
ritiene,to hold back / hold down / hold / stop / retain
respiri,breath
menzogna,lie / falsehood / fib
domando,to ask / to demand
fotografo,photographer
fulmine,lightning
centinaio,hundred / about a hundred / about one hundred / hundreds / dozens
corse,run / running / Corsican / movement
ripulire,to clean something again / to clean up / to gulp down
detenuto,prisoner
calmatevi,to calm / calm down / to relieve / lessen / ease
mandarmi,to drive / to send / forward / dispatch / transmit
marijuana,marijuana
vogliano,to want
manicomio,lunatic asylum / madhouse
pompieri,fireman / firefighter / fire brigade / fire department / fire company
unirti,to join / to unite / to put together
decente,chaste / decent / decorous / seemly / proper
aggiunto,assistant / deputy / associate / adjoint / assistant
verrebbe,would come
apparentemente,seemingly / apparently
illusione,illusion / delusion
conquistare,to attain / get / win / achieve / to conquer / capture
costretti,to force / to compel / to constrain / to oblige
vedranno,will see
scorre,to pass / to fly / to roll by
eccetera,et cetera / and so on / and so forth
agitato,restless / fidgety / rough [sea] / worried or excited
grigio,gray / grey
interrogato,Person examined or questioned
iniziate,to begin / to join / to incorporate
avvenuto,happened (p.p. of avvenire)
perdonato,to forgive / pardon / to forgive / pardon / excuse
sandra,zander / female given name / short form of Alessandra
demonio,demon / devil / The Devil
asciugamano,towel / towels
meritano,to be worth / to be worthing / to deserve / merit / to earn
sentirla,to hear / feel
tienila,to have / to hold / keep / to take
bestie,beast
segnato,to score / to mark / to indicate / to signal; to say / to read / to give
fucili,gun / rifle
frattura,fracture / break / fracture / split
risorsa,asset / resource
penserai,you will think
ricevi,to receive / pick up / read / to accept
ridono,they laugh
proteggerla,to protect
negri,black / coloured / black / coloured
esista,to exist / be
estranei,alien / extraneous / foreign / unrelated / unconnected
appare,to appear / to look / to grow / to seem
etero,heterosexual / heterosexual
garantire,to guarantee / warrant / ensure / assure
apprezzato,appreciated / valued
roulotte,caravan
p,See under P
ammiro,to admire / to appreciate
bellissime,superlative form of bello (f. pl.)
riscaldamento,warm-up / heat / heating
meritava,to be worth / to be worthing / to deserve / merit / to earn
nominare,to constitute / to institute / to mention
inviare,turns / sent / submit
sosta,pause / break / stop / halt
cannone,ace / box pleat / cannon
proseguire,to go on / drive on / keep going / continue / keep up
allucinazioni,hallucination
comportarsi,behave / behaving
desiderare,aspired / want / won't
prepararsi,trains / prepare for / get
personalità,character / personage / personality
dipendenza,dependency / dependence
ridurre,decrease / thin / lower
inevitabile,unavoidable / inevitable / the inevitable
uccellino,Little or young bird
efficace,effective / efficacious
cacciatori,chaser / hunter / hunter / huntsman
trasferire,to convey / transfer / to transfer / move / remove / shift
campana,bell
sollevato,to raise / lift / put up / rear / stir up / bring up / stand up
sciopero,strike / walk-out / stoppage
bussare,To knock
toast,toasted sandwich / toast / pledge
negato,denied / refused / useless / hopeless
canti,corner / side / singing
ingiusto,unjustified / underserved / unjust / unfair / wrong / unjust person
pesi,weight
secca,drought / shoal / sandbank
rivedremo,to backtrack / to overhaul / to return to / go back to
votato,consecrated / destined / bound / devoted / dedicated
operai,working / workmen's / worker's / labour / working / worker
attaccata,attached / glued or tied / close / devoted or dedicated / observant
giudici,Judges / Book of Judges
agenda,diary / planner
blog,blog
registrazioni,adjustment / check-in / entry
proprietari,owner / proprietary / proprietor / landlord
aspettarti,to wait for / await / wait
donato,male given name
valida,valid / effective / good / substantial / sound / strong
offerte,offers / offered (f. pl.)
peggiorare,To worsen / To worsen
morirò,to die
generazioni,breed progeny / generation / generation / procreation / production
goditi,to enjoy
occupero,to employ / find a job / to occupy / take over / squat in
rocce,rock / rock climbing
salita,climb / increase / rise
rintracciato,To trace / to track down / to run down / to find / to contact
negoziare,To trade / to deal / To negotiate / to transact
provino,casting / audition / tryout / screen test
femminuccia,Female baby / A weak / cowardly person / Little girl
alternative,alternative
prenderle,to take
precisione,precision
dirige,to address / to conduct / to lead
dj,DJ
preghiamo,to pray / to beg / to pray to something
trovarli,to find
possiate,to be able / can
costruendo,to build / construct / to plan / frame
corde,chord / cord / rope / chord
estratto,abstract / essence / excerpt
provocato,to arouse / to cause [an incident / etc.] / to provoke
proteggermi,to protect
ossessione,nuisance / obsession
dimenticarti,to forget
chiamavano,to call
usava,to use something
sirena,mermaid / siren / hooter
trasferiti,to convey / transfer / to transfer / move / remove / shift
aspettarmi,to wait for / await / wait
versato,versed / practiced
concentrarmi,to concentrate / focus / to gather / assemble / bring together / merge
delusa,disappointed
ritrovare,to have / to find again / to find / to meet
vermi,true (f. pl.)
silenzioso,silent / quiet / still
affinché,[followed by the subjunctive] so that / in order that
dipingere,painting / portrays / to portray
potuta,to be able / can
impari,azygous / odd / uneven / unequal
comprensione,understanding / comprehension
vendo,to sell
sfruttare,to exploit / to make the most of / take advantage of
mobile,mobile / moving / inconstant
dimostrazione,demonstration
colpevoli,guilty / culprit
tasso,badger / European yew / rate / level / percentage
gangster,gangster
pirati,pyre
vogliate,to want
ribelle,rebel / rebellious / mutinous / unruly / A rebel / A rebel
avvicinati,to approach / come up / accost / have to do with
palo,goalpost / pale / stake / pole / pile
tattica,scheme / stratagem / tactics
ricevo,to receive / pick up / read / to accept
fregare,to cheat / to pinch / nick or knock off / to polish
val,apocopic form of valle
aiuterò,to help / assist
finendo,to finish / to end / to finish
ritirato,secluded
fidarci,to have faith [in something or someone]
incontrarla,to play / fight
mantenuto,maintained (p.p. of mantenere)
convincente,convincing / persuasive
api,honeybee / bee
marinaio,sailor / mariner / seaman
gomme,eraser / rubber / gumma / rubber / india rubber / caoutchouc
cavalieri,a gentleman / a knight / an escort or partner
esperta,expert / specialist / adept / insider
darebbe,would give
intimo,intimate / close / intimate / cosy / cozy / intimate / private / innermost
fata,fairy [mythical creature]
cifre,code / cipher / figure / numeral / initials / monogram
eseguire,to play / execute
creando,to appoint / to cause / to create
fantastiche,fantastic / wonderful / great / terrific
morisse,to die
sacchetto,Small amount / Small bag
penserò,I will think
garanzia,guarantee / warrant / security
proposto,proposed (p.p. of proporre)
mona,cunt / pussy / idiot / silly / dupe
approccio,approach
ragno,spider
combatti,to fight / to battle / to shrive / to fight / to combat
spiegarmi,to explain / elucidate / expound / show / account / understand
direttrice,(f.) executive / (f.) manager / manager
spiegazioni,explanation / elucidation / interpretation / reason / lesson
attenzioni,attention / caution / watch out!; look out!; take care!; mind!; careful!
atterrare,fell / put / came
papi,pope
fotografica,photographic / photograph / photo
pierre,Person who works in public relations
legalmente,legally / lawfully
salone,reception room / salon [of a hairdresser / etc.] / saloon [on a ship]
chiedervi,to ask / to request
cercarmi,to look for / to try
omicida,homicidal / murderous / murderer / murderess
massacro,massacre
ballerina,dancer / ballerina / ballerinas
stessero,to stay / to be
grandiosa,grandiose / magnificent
semi,bean / pip / seed
piangi,you cry
gestione,management
toglierti,to take off / to take out
torcia,torch
aspetterò,to wait for / await / wait
marea,blizzard / pile / heap / tide
legittima,legitimate / legal / rightful / legitimate / proper / fair
marrone,brown
milano,Milan / a city and province in Italy
costole,cost
disgrazia,accident / disaster / disgrace / misfortune / bad luck
renderlo,To be profitable / To give back / to return / To make
hacker,hacker (loanword)
finiremo,to finish / to end / to finish
dolori,ache / pain / sorrow / grief
sbagliando,to goof / to make a mistake
sviluppato,developed
bisogni,need
funghi,mushroom / fungus / toadstool
sfuggito,to escape
riusciro,to be able to / to manage to / to be / to prove / to find
nati,native
valgono,to be worth
antenati,ancestor / forefather
cagare,to shit / crap / to give a shit [about somebody]
portiere,doorman / janitor / concierge / caretaker / doorkeeper / porter
carità,charity
leggerlo,to read
esagerare,to exaggerate / to go too far / to overdo it / to go overboard
reagire,To react
interessati,to be in the interest to / to be the concern of / to matter to
greco,Greek
arrivarci,to come / to be placed / to arrive / to come / to reach
ragionare,to discuss / argue / talk / to reason
software,software
fragile,fragile
elefante,elephant
perderemo,to lose
scheda,cards / worksheet / ballots
spariti,shot / silver bream / the sound of a shot
audizione,audition
legate,to alloy / to get on / to bind or tie
compare,accomplice / godfather / old friend
sembravano,to seem; to look ; to appear / to sound / taste or feel
esistere,be / (to) exist / (to) live
mostrami,exhibition / show
commento,(I) annotate / (I) comment on / comment
rimosso,to dissuade / deter / to remove
nipoti,grandchild
georgia,Georgia / Georgia
epidemia,An epidemic
volerci,to take; to be needed; to be required
rospo,toad
partendo,depart / leave
onorato,honoured / male given name
fecero,they did (p.r.)
trent',thirty (elided)
comportati,to involve / to imply / to entail
visuale,visual / view
sinceri,sincere
pompa,state / states / pumps
poiche,since / because / as
volti,face / turned
ombre,shade / shadow
vene,vein / grain / inclination / desire
prezzi,cost / fare / fee / rate / terms / charges
terminato,to end / to come to an end / to finish
intelligence,A political or military department / agency or unit designed to gather information
discuterne,to argue / to discuss / debate or question
giochetti,child's play / game / trick
disordine,disorder / untidiness / confusion / chaos / mess / excess / intemperance
priorità,priority / triage
saper,to know (apocopated)
instabile,changeable / unsettled / unstable / unsteady / precarious / unreliable
gettare,to launch / to shower / to sling
aiutero,to help / assist
dispiaciuta,disappointment / grief / regret / sorrow (f.)
picchiare,to beat / to knock / to thump / to tap / to bang / to insist
nere,black / a person of black skin / black colour
mandano,to drive / to send / forward / dispatch / transmit
appeso,hung (p.p. of appendere)
lascerà,to leave / let
precisamente,exactly / just / definitely / precisely / exactly
rimarrà,to remain
sospetta,suspected / suspicious / suspect / questionable / suspect
piccoletto,Short / A short person
carbone,charcoal / coal
pugnale,dagger
sapone,soap / soaps
cattura,capture
fallire,to fail / to flop / to go bankrupt
parlavi,speaks
posa,exposure / placing / laying / pose
compagnie,national airline / company / companionship / fellowship / society / people
settimo,seventh / 7th
inserito,inserted
venute,come (p.p. of venire)
scozia,scotia / Scotland
teso,aimed / intended / outstretched / taut / tight / tense / stretched
ripeti,to repeat
valerie,male given name / derived from Latin Valerius (f. pl.)
italiani,Italian / Italian
progresso,progress / progression / development / growth / improvement / advancement
rapido,quick / fast / rapid
dibattito,debate / discussion
occidentale,west / western / westerly / occidental / Western / Occidental
valeva,to be worth
spaghetti,spaghetti
annullato,to cancel / revoke / nullify / annul / rescind / void / withdraw / disallow / repeal
terremo,to have / to hold / keep / to take
rivederla,to backtrack / to overhaul / to return to / go back to
candidati,candida
stanchi,tired (m. pl.)
cerchero,to look for / to try
creazione,creation
sceneggiatura,screenplay
sedie,chair
opinioni,opinion / mind / view / attitude
nazisti,nazi / female Nazi / Nazi
offrendo,to offer / treat
esplosivi,explosive / explosive
sanguinando,to bleed
riuscirà,to be able to / to manage to / to be / to prove / to find
bloccare,hold / stopped / stop
parlavamo,to speak / talk
delusione,disappointment
mettiamoci,we put
scossa,electric shock / jolt or jerk / shake
scappi,to escape / to flee / to run away
disperazione,despair
distante,distant / far away
voluti,wanted
digitali,to finger / to key in / to key / to type / to press
raffreddore,cold / colder
permanente,permanent / permanent wave / perm
schianto,crash / smasher
stretti,tight / narrow (p.p. of stringere)
mancare,(to) omit / die / (to) to die
scelgo,(I) decide on / (I) elect / (I) choose
naturali,essence / character / nature
barche,boat
disturbi,disturbance / interference / noise / trouble / bother / inconvenience
categoria,category / topic / class
arrestata,arrested / under arrest / Person under arrest
filosofia,philosophy
riferito,to attribute / ascribe / to report / tell / relate
co,Como
intrappolato,To trap / to entrap / to ensnare
visioni,sight / view / vision
protetta,protected / sheltered
viaggiato,to run / to travel / to travel / to journey / to tour / to fly
sig.ra,Mrs. (abbreviation of signora)
sopportarlo,to bear / sustain / carry / take / withstand
